Date,State,est_pop,percapita_d,total_d
2020-04-30T12:00:00Z,Alabama,4903185,5.547414589,272
2020-05-31T12:00:00Z,Alabama,4903185,12.848791143,630
2020-06-30T12:00:00Z,Alabama,4903185,19.375161247,950
2020-07-31T12:00:00Z,Alabama,4903185,32.22395239,1580
2020-08-31T12:00:00Z,Alabama,4903185,44.501686149,2182
2020-09-30T12:00:00Z,Alabama,4903185,51.803062703,2540
2020-10-31T12:00:00Z,Alabama,4903185,60.511687811,2967
2020-11-30T12:00:00Z,Alabama,4903185,72.972975729,3578
2020-12-31T12:00:00Z,Alabama,4903185,98.446214043,4827
2021-01-31T12:00:00Z,Alabama,4903185,156.796041757,7688
2021-02-28T12:00:00Z,Alabama,4903185,202.501027393,9929
2021-03-31T12:00:00Z,Alabama,4903185,215.247844003,10554
2021-04-30T12:00:00Z,Alabama,4903185,222.222902052,10896
2021-05-31T12:00:00Z,Alabama,4903185,227.321628696,11146
2020-04-30T12:00:00Z,Alaska,731545,1.230272916,9
2020-05-31T12:00:00Z,Alaska,731545,1.366969906,10
2020-06-30T12:00:00Z,Alaska,731545,1.913757869,14
2020-07-31T12:00:00Z,Alaska,731545,3.144030784,23
2020-08-31T12:00:00Z,Alaska,731545,5.057788653,37
2020-09-30T12:00:00Z,Alaska,731545,7.655031474,56
2020-10-31T12:00:00Z,Alaska,731545,11.20915323,82
2020-11-30T12:00:00Z,Alaska,731545,16.677032855,122
2020-12-31T12:00:00Z,Alaska,731545,28.159580067,206
2021-01-31T12:00:00Z,Alaska,731545,35.814611541,262
2021-02-28T12:00:00Z,Alaska,731545,39.642127279,290
2021-03-31T12:00:00Z,Alaska,731545,42.786158063,313
2021-04-30T12:00:00Z,Alaska,731545,47.433855744,347
2021-05-31T12:00:00Z,Alaska,731545,50.441189537,369
2020-04-30T12:00:00Z,Arizona,7278717,4.396379197,320
2020-05-31T12:00:00Z,Arizona,7278717,12.460987287,907
2020-06-30T12:00:00Z,Arizona,7278717,22.60013681,1645
2020-07-31T12:00:00Z,Arizona,7278717,50.750702356,3694
2020-08-31T12:00:00Z,Arizona,7278717,69.091846819,5029
2020-09-30T12:00:00Z,Arizona,7278717,77.623570198,5650
2020-10-31T12:00:00Z,Arizona,7278717,82.14359756,5979
2020-11-30T12:00:00Z,Arizona,7278717,91.211129654,6639
2020-12-31T12:00:00Z,Arizona,7278717,121.779703758,8864
2021-01-31T12:00:00Z,Arizona,7278717,180.251547079,13120
2021-02-28T12:00:00Z,Arizona,7278717,219.544186153,15980
2021-03-31T12:00:00Z,Arizona,7278717,233.104268238,16967
2021-04-30T12:00:00Z,Arizona,7278717,238.00897878,17324
2021-05-31T12:00:00Z,Arizona,7278717,242.185539017,17628
2020-04-30T12:00:00Z,Arkansas,3017804,2.02133737,61
2020-05-31T12:00:00Z,Arkansas,3017804,4.4071782,133
2020-06-30T12:00:00Z,Arkansas,3017804,8.946903112,270
2020-07-31T12:00:00Z,Arkansas,3017804,15.010915222,453
2020-08-31T12:00:00Z,Arkansas,3017804,26.40993252,797
2020-09-30T12:00:00Z,Arkansas,3017804,45.364112447,1369
2020-10-31T12:00:00Z,Arkansas,3017804,63.788105523,1925
2020-11-30T12:00:00Z,Arkansas,3017804,82.907968841,2502
2020-12-31T12:00:00Z,Arkansas,3017804,121.81042904,3676
2021-01-31T12:00:00Z,Arkansas,3017804,161.309349447,4868
2021-02-28T12:00:00Z,Arkansas,3017804,173.73560377,5243
2021-03-31T12:00:00Z,Arkansas,3017804,186.426951518,5626
2021-04-30T12:00:00Z,Arkansas,3017804,190.171396154,5739
2021-05-31T12:00:00Z,Arkansas,3017804,193.286243905,5833
2020-04-30T12:00:00Z,California,39512223,5.135119834,2029
2020-05-31T12:00:00Z,California,39512223,10.543572808,4166
2020-06-30T12:00:00Z,California,39512223,15.37245829,6074
2020-07-31T12:00:00Z,California,39512223,23.364921786,9232
2020-08-31T12:00:00Z,California,39512223,33.055593961,13061
2020-09-30T12:00:00Z,California,39512223,40.349539432,15943
2020-10-31T12:00:00Z,California,39512223,44.892437462,17738
2020-11-30T12:00:00Z,California,39512223,48.865891448,19308
2020-12-31T12:00:00Z,California,39512223,66.136496547,26132
2021-01-31T12:00:00Z,California,39512223,104.299370855,41211
2021-02-28T12:00:00Z,California,39512223,133.718115531,52835
